unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.93275774;14.952942;-82.30687;16.191763;
0.93779314;14.891754;-82.37498;16.318895;
0.9428896;14.82663;-82.44413;16.442495;
0.94786394;14.758392;-82.513405;16.558434;
0.95292985;14.696594;-82.58775;16.672485;
0.9579042;14.646912;-82.665764;16.780798;
0.9630311;14.606598;-82.75225;16.89093;
0.96800554;14.57785;-82.84172;16.996853;
0.97304094;14.57016;-82.938576;17.104607;
0.97807634;14.580261;-83.03984;17.213171;
0.9831728;14.606049;-83.145645;17.324675;
0.9881471;14.643829;-83.251144;17.43478;
0.99318254;14.699402;-83.35824;17.548975;
0.99821794;14.765289;-83.465965;17.666388;
1.0033144;14.841522;-83.57073;17.792446;
1.0082887;14.914734;-83.67025;17.920906;
1.0133241;14.988678;-83.764595;18.05782;
1.0183595;15.049896;-83.84946;18.205925;
1.023456;15.103149;-83.9267;18.363049;
1.0284303;15.139557;-83.99191;18.524715;
1.0334657;15.167389;-84.04678;18.696981;
1.0385011;15.184509;-84.08961;18.877127;
1.0435976;15.193787;-84.12039;19.06584;
1.048572;15.192871;-84.13762;19.254688;
1.0536379;15.190674;-84.14367;19.450527;
1.0586122;15.188538;-84.13913;19.644094;
1.0637392;15.186523;-84.12706;19.845356;
1.0687135;15.189301;-84.1119;20.03988;
1.073749;15.2057495;-84.09621;20.236952;
1.0787843;15.2343445;-84.08463;20.433588;
1.0838808;15.283752;-84.07921;20.62964;
1.0888551;15.35434;-84.08298;20.815151;
1.0938905;15.459778;-84.09458;20.99679;
1.0988954;15.599182;-84.11485;21.169542;
1.1040224;15.776764;-84.1434;21.338907;
1.1089967;15.980438;-84.178566;21.494968;
1.1140321;16.225983;-84.22059;21.64573;
1.1190674;16.501007;-84.269714;21.790157;
1.124164;16.795532;-84.32657;21.933456;
1.1291384;17.095337;-84.388824;22.068506;
1.1341738;17.40857;-84.4575;22.203754;
1.1392092;17.713043;-84.52825;22.341711;
1.1443056;18.014435;-84.60375;22.48185;
1.14928;18.294006;-84.68024;22.61924;
1.1543459;18.56958;-84.75827;22.761127;
1.1593202;18.827026;-84.83501;22.902771;
1.1644472;19.075928;-84.911674;23.054298;
1.1694216;19.30426;-84.98256;23.205345;
1.174457;19.525452;-85.04987;23.365067;
1.1794618;19.733124;-85.110306;23.530691;
1.1845888;19.934692;-85.16627;23.706772;
1.1895632;20.117249;-85.21447;23.882645;
1.1945984;20.297302;-85.25615;24.066994;
1.1996338;20.468018;-85.28966;24.258904;
1.2047304;20.6333;-85.3178;24.461142;
1.2097048;20.787506;-85.33792;24.667227;
1.2147402;20.948212;-85.35285;24.887962;
1.219745;21.114227;-85.36352;25.120125;
1.224872;21.2901;-85.37336;25.37268;
1.2298464;21.470123;-85.38284;25.630926;
1.2348818;21.675293;-85.39423;25.905006;
1.2399172;21.901611;-85.40916;26.189564;
1.2450136;22.154694;-85.429596;26.48616;
1.249988;22.42743;-85.45507;26.780373;
1.2550539;22.738525;-85.48898;27.084244;
1.2600282;23.079407;-85.52869;27.382992;
1.2651552;23.465942;-85.57923;27.689611;
1.2701294;23.87378;-85.63787;27.982468;
1.2751648;24.328796;-85.706184;28.27477;
1.2802004;24.82019;-85.785545;28.560564;
1.2852967;25.356934;-85.87901;28.841108;
