unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.96256727;23.401947;-86.58575;15.419521;
0.96760267;23.607574;-86.65324;15.54235;
0.97260755;23.817566;-86.718025;15.665824;
0.9777345;24.036255;-86.78178;15.794167;
0.9827088;24.241882;-86.84183;15.919738;
0.9877442;24.451721;-86.901024;16.049059;
0.9927796;24.657715;-86.95818;16.178493;
0.99787605;24.856018;-87.01445;16.309988;
1.0028504;25.028717;-87.067924;16.437672;
1.0079163;25.199036;-87.11984;16.567234;
1.0128907;25.352325;-87.16892;16.692497;
1.0180176;25.492157;-87.22007;16.81891;
1.022992;25.608612;-87.267525;16.936825;
1.0280274;25.72113;-87.315994;17.051638;
1.0330628;25.823486;-87.36476;17.160715;
1.0381593;25.91861;-87.41314;17.265362;
1.0431336;25.997345;-87.46013;17.362154;
1.048169;26.077515;-87.50586;17.455818;
1.0532044;26.152252;-87.549255;17.544914;
1.0583009;26.22049;-87.588394;17.633476;
1.0632752;26.274994;-87.62345;17.718607;
1.0683106;26.332184;-87.6544;17.805014;
1.073346;26.383057;-87.67976;17.893057;
1.0784425;26.427338;-87.69929;17.985266;
1.0834168;26.457764;-87.71383;18.07861;
1.0884522;26.489197;-87.722015;18.177874;
1.0934876;26.507202;-87.72641;18.284302;
1.098584;26.512543;-87.728424;18.400017;
1.1035585;26.501038;-87.72888;18.520428;
1.1086243;26.484283;-87.7292;18.649904;
1.1135987;26.459503;-87.729645;18.782673;
1.1187258;26.421326;-87.73111;18.92643;
1.1237;26.376556;-87.73211;19.069483;
1.1287354;26.330688;-87.73474;19.21864;
1.1337708;26.287903;-87.73803;19.368528;
1.1388673;26.244537;-87.7413;19.521357;
1.1438416;26.20514;-87.742424;19.668852;
1.148877;26.172852;-87.74158;19.81767;
1.1539124;26.149628;-87.737206;19.964573;
1.1590089;26.131042;-87.729225;20.113798;
1.1639832;26.115784;-87.71983;20.259789;
1.1690186;26.114136;-87.708015;20.410107;
1.1740541;26.119995;-87.69528;20.564114;
1.1791505;26.133728;-87.68402;20.725203;
1.184125;26.153809;-87.674774;20.887096;
1.1891602;26.188904;-87.66874;21.056917;
1.1941956;26.234924;-87.66617;21.233528;
1.1992922;26.293121;-87.66685;21.41951;
1.2042664;26.360199;-87.670296;21.606693;
1.2093323;26.446838;-87.67718;21.80328;
1.2143068;26.54657;-87.6853;22.002234;
1.2194337;26.665161;-87.6943;22.21405;
1.224408;26.789703;-87.70438;22.424385;
1.2294434;26.937103;-87.71692;22.643301;
