unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
1.0985718	25.575989	-87.06372	20.095343
1.1036072	26.048096	-87.23936	20.210089
1.1086426	26.517181	-87.412674	20.31993
1.113739	26.98529	-87.58507	20.425901
1.1187133	27.416504	-87.748436	20.525343
1.1237487	27.850555	-87.9052	20.62641
1.1287841	28.266968	-88.05372	20.728077
1.1338805	28.671997	-88.196556	20.831728
1.138855	29.03424	-88.33134	20.934418
1.1438904	29.394226	-88.46916	21.041613
1.1488951	29.73587	-88.6056	21.15074
1.1540222	30.058136	-88.745125	21.26717
1.1589966	30.335083	-88.87818	21.38246
1.164032	30.6167	-89.00939	21.499613
1.1690674	30.888092	-89.13419	21.61674
1.1741638	31.149567	-89.25301	21.735987
1.1791382	31.381714	-89.35956	21.851292
1.1842041	31.618286	-89.4571	21.969654
1.1891785	31.839447	-89.54153	22.085428
1.1943054	32.0542	-89.6153	22.20469
1.1992797	32.23987	-89.672615	22.31973
1.2043151	32.435455	-89.71726	22.43464
1.2093201	32.621307	-89.75038	22.547876
1.2144469	32.80591	-89.77253	22.662184
1.2194214	32.971527	-89.78583	22.768887
1.2244568	33.15219	-89.79325	22.872833
1.2294922	33.335052	-89.79464	22.972874
1.2345886	33.52588	-89.79065	23.068918
1.239563	33.706116	-89.78126	23.156418
1.2445984	33.90323	-89.767395	23.237825
1.2496338	34.101654	-89.74913	23.309715
1.2547302	34.30768	-89.72784	23.369484
1.2597046	34.509308	-89.70548	23.411972
1.26474	34.73767	-89.679924	23.439032
1.2697753	34.98004	-89.65087	23.44955
1.2748718	35.239594	-89.61414	23.44526
1.2798461	35.502716	-89.57168	23.42655
1.2849121	35.796417	-89.520164	23.397606
1.2898865	36.098328	-89.46298	23.35911
1.2950133	36.42035	-89.3951	23.310612
1.2999878	36.73636	-89.32292	23.252884
1.3050232	37.081055	-89.24304	23.185167
1.3100586	37.44693	-89.15543	23.109346
1.315155	37.838257	-89.05986	23.025301
1.3201294	38.23877	-88.95747	22.933489
1.3251648	38.671204	-88.84001	22.830542
1.3302002	39.111176	-88.70521	22.714405
1.3352966	39.54425	-88.55221	22.583427
1.340271	39.944397	-88.390366	22.44188
1.3453063	40.34265	-88.22068	22.285458
1.3503417	40.73166	-88.0464	22.118002
1.3554381	41.112823	-87.864525	21.938824
1.3604125	41.458374	-87.67878	21.753801
1.3654479	41.780792	-87.48076	21.557669
1.3704834	42.064514	-87.27333	21.352516
1.3755797	42.31659	-87.05453	21.1334
1.3805542	42.53232	-86.83127	20.906914
1.38562	42.72821	-86.59076	20.668175
1.3905944	42.900696	-86.34079	20.424536
1.3957214	43.050323	-86.06941	20.167477
1.4006958	43.170166	-85.79332	19.91183
1.4057312	43.263184	-85.5051	19.650715
1.4107666	43.32431	-85.209435	19.389303
1.415863	43.36139	-84.899536	19.125154
1.4208373	43.383118	-84.58604	18.86846
1.4258727	43.398193	-84.25883	18.613123
1.4309081	43.408264	-83.927536	18.36267
1.4360045	43.41153	-83.58864	18.118551
1.4409789	43.40985	-83.25954	17.889185
1.4460144	43.409454	-82.93037	17.66328
1.4510498	43.411926	-82.60915	17.441244
1.4561461	43.404236	-82.29788	17.229017
1.4611206	43.39038	-82.01213	17.037327
1.466156	43.368073	-81.741516	16.860147
1.4711914	43.341125	-81.48792	16.704365
1.4762878	43.307312	-81.24424	16.576872
1.4812622	43.269867	-81.01466	16.487951
1.486328	43.22348	-80.78369	16.441753
1.4913025	43.16449	-80.558235	16.447964
1.4964294	43.09134	-80.325356	16.513163
1.5014037	43.000275	-80.10155	16.641136
1.5064391	42.888855	-79.87597	16.840595
1.5114745	42.763794	-79.64851	17.110981
1.5167786	42.621155	-79.41744	17.4567
1.521753	42.45752	-79.19049	17.865362
